Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
b0690cbf-45d3-9405-c960-3dfe2be06b36,1994-04-16,,999-81-1485,S99922575,X85382128X,Mrs.,Linda558,Hessel84,,Moore224,M,white,nonhispanic,F,Dalton  Massachusetts  US,586 Bruen Key,Berkley,Massachusetts,Bristol County,,00000,41.850726694083065,-71.06992228060969,174629.94,390913.53,108306
f89018e9-c460-e5ae-8818-ec075239a328,2003-09-17,,999-66-2881,S99975298,X81489192X,Ms.,Rea30,Gutkowski940,,,,white,nonhispanic,F,North Eastham  Massachusetts  US,811 McDermott Manor Suite 46,Lexington,Massachusetts,Middlesex County,25017,02421,42.41101659306704,-71.27862015252376,4040.72,27791.04,17075
79410e31-97d8-ddc0-112f-9e0fc096ed39,1989-09-21,,999-86-7128,S99927847,X31089616X,Mrs.,Shayne60,Howe413,,Tromp100,M,white,nonhispanic,F,Dennis  Massachusetts  US,770 Heathcote Light Unit 37,Sandisfield,Massachusetts,Berkshire County,,00000,42.14890162712452,-73.12128277031279,369184.49,968955.40,45342
b1ff4045-06ad-8617-488d-fc9dcbd53f6b,1937-03-11,2015-05-27,999-28-1593,S99972237,X27060960X,Ms.,Melina208,Carter549,,,S,white,nonhispanic,F,Holyoke  Massachusetts  US,308 Lehner Brook,Sandwich,Massachusetts,Barnstable County,25001,02563,41.710327108308576,-70.50270397873436,557306.72,350278.75,56180
4ddc5428-1bc6-f561-394d-0f9a9e18cf8d,2014-01-21,,999-48-6180,,,,Derrick232,Ebert178,,,,hawaiian,nonhispanic,M,Walpole  Massachusetts  US,801 Ondricka Extension Apt 27,Milford,Massachusetts,Worcester County,25027,01757,42.12340793877378,-71.50476357557156,16133.58,0.00,95558
af882637-ecdc-9e0f-cfe2-ce1d24dcc309,2012-10-23,,999-83-7702,,,,Elizebeth108,Wilkinson796,,,,asian,nonhispanic,F,Macau  Macao Special Administrative Region of the People's Republic of China  CN,563 Roob Bay Apt 0,Charlton,Massachusetts,Worcester County,,00000,42.13401472684853,-71.97893773431964,8246.13,23098.51,144810
1436618f-0475-2e7a-a577-3e9fcd71997a,1991-03-19,,999-82-2878,S99992179,X52877134X,Mrs.,Lissette621,Hermann103,,Kessler503,M,white,nonhispanic,F,Peabody  Massachusetts  US,1036 Walsh Green,Northbridge,Massachusetts,Worcester County,,00000,42.175306008721094,-71.66006566538721,58078.29,215384.48,100316
23c133ce-777a-5b3d-7e46-f0445905c840,1972-08-16,,999-92-3004,S99927516,X32722959X,Mr.,Hipolito984,Gerhold939,,,D,white,nonhispanic,M,Agawam  Massachusetts  US,1039 Schmidt Glen Suite 22,Falmouth,Massachusetts,Barnstable County,25001,02540,41.58721986317059,-70.58137081206365,7736.77,85526.95,17053
f734a23f-fa93-93ee-f317-1bbd5de5c727,1999-11-26,,999-80-9607,S99911416,X39403131X,Ms.,Isabela97,Huerta329,,,,white,hispanic,F,Havana  Havana  CU,981 Upton Rue,Ashburnham,Massachusetts,Worcester County,,00000,42.60776798824758,-71.94235744467257,68951.63,137075.98,150705
8ac182b7-21fb-7820-ff95-75ecb613f05d,2009-01-06,,999-43-2574,,,,Tommie457,Bayer639,,,,asian,hispanic,M,Malden  Massachusetts  US,183 DuBuque Union Unit 97,Springfield,Massachusetts,Hampden County,25013,01106,42.13680644126126,-72.55720992260548,23231.38,3012.92,53702
ec756e7b-193a-2dec-b17e-0481a349378b,1937-03-11,,999-61-7680,S99998294,X54763353X,Mrs.,America446,Doyle959,,Gorczany269,M,white,nonhispanic,F,Waltham  Massachusetts  US,344 Robel Stravenue,Sandwich,Massachusetts,Barnstable County,25001,02563,41.689793251578934,-70.49509494622646,748548.72,470722.59,56180
